,Purchased,Do_Not_Call,Last_Activity,Do_Not_Email,Origin,matters_most,Current_Occupation ,about_Us,Specialization,Country,TotalVisits,Total Time Spent on Website,Page Views Per Visit
133,1.0,0.0,17.0,0.0,2.0,0.0,5.0,9.0,10.0,37.0,0.0,986,0.0
134,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,889,0.0
135,1.0,0.0,13.0,0.0,1.0,0.0,4.0,3.0,4.0,12.0,5.0,1091,5.0
136,0.0,0.0,9.0,0.0,1.0,3.0,6.0,9.0,16.0,12.0,4.0,291,4.0
137,1.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,6.0,37.0,0.0,0,0.0
138,0.0,0.0,9.0,1.0,0.0,0.0,4.0,9.0,18.0,12.0,1.0,1759,1.0
139,0.0,0.0,5.0,0.0,1.0,3.0,6.0,9.0,15.0,12.0,7.0,41,3.5
140,0.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,1.0,12.0,5.0,386,5.0
141,0.0,0.0,10.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,6.0,216,2.0
142,1.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,12.0,12.0,5.0,1603,5.0
143,0.0,0.0,10.0,0.0,1.0,3.0,6.0,2.0,18.0,12.0,7.0,106,3.5
144,0.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,73,2.0
145,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,2.0,77,2.0
146,0.0,0.0,13.0,0.0,1.0,3.0,6.0,9.0,6.0,12.0,3.0,718,3.0
147,0.0,0.0,9.0,0.0,1.0,3.0,6.0,8.0,10.0,12.0,5.0,432,1.67
148,0.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,7.0,12.0,5.0,232,2.5
149,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,6.0,12.0,2.0,702,2.0
150,1.0,0.0,13.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,5.0,614,5.0
151,1.0,0.0,1.0,0.0,1.0,3.0,6.0,9.0,8.0,12.0,1.0,1808,1.0
152,0.0,0.0,2.0,1.0,1.0,0.0,4.0,9.0,4.0,12.0,2.0,234,1.0
153,0.0,0.0,13.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,3.0,245,3.0
154,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,12.0,12.0,8.0,1268,4.0
155,0.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,18.0,12.0,2.0,56,2.0
156,0.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,174,2.0
157,0.0,0.0,5.0,0.0,1.0,0.0,4.0,8.0,18.0,12.0,4.0,1149,2.0
158,0.0,0.0,5.0,0.0,1.0,3.0,6.0,9.0,3.0,12.0,2.0,333,2.0
159,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,7.0,471,2.33
160,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,16.0,12.0,3.0,1010,3.0
161,1.0,0.0,8.0,0.0,0.0,0.0,4.0,9.0,12.0,12.0,10.0,1815,3.33
162,0.0,0.0,3.0,0.0,1.0,0.0,4.0,9.0,1.0,12.0,2.0,47,2.0
163,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,12.0,12.0,3.0,1528,1.5
164,1.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,4.0,12.0,6.0,919,6.0
165,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,11.0,12.0,10.0,194,5.0
166,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,1.0,1173,1.0
167,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,351,2.0
168,0.0,0.0,3.0,0.0,1.0,3.0,6.0,9.0,10.0,12.0,12.0,493,12.0
169,0.0,0.0,10.0,0.0,1.0,0.0,4.0,9.0,12.0,12.0,3.0,381,1.5
170,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,2.0,1944,2.0
171,0.0,0.0,13.0,0.0,1.0,0.0,4.0,3.0,7.0,12.0,5.0,65,5.0
172,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,1.0,12.0,7.0,1334,7.0
173,0.0,0.0,7.0,0.0,0.0,3.0,6.0,3.0,0.0,12.0,7.0,615,7.0
174,1.0,0.0,5.0,0.0,2.0,0.0,5.0,9.0,4.0,37.0,0.0,0,0.0
175,0.0,0.0,2.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,1.0,250,1.0
176,0.0,0.0,3.0,0.0,1.0,3.0,6.0,9.0,1.0,12.0,2.0,383,2.0
177,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,1240,0.0
178,1.0,0.0,5.0,0.0,2.0,0.0,5.0,9.0,0.0,37.0,0.0,0,0.0
179,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,458,0.0
180,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,1060,0.0
181,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
182,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,4.0,904,4.0
183,0.0,0.0,1.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,1.0,164,1.0
184,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,1793,2.0
185,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,1841,5.0
186,1.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,0.0,12.0,8.0,877,2.67
187,1.0,0.0,13.0,0.0,2.0,0.0,4.0,9.0,13.0,37.0,0.0,0,0.0
188,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,12.0,1411,6.0
189,1.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,6.0,385,6.0
190,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
191,0.0,0.0,10.0,0.0,0.0,3.0,6.0,8.0,11.0,12.0,12.0,68,1.71
192,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
193,0.0,0.0,5.0,0.0,1.0,3.0,6.0,3.0,9.0,12.0,3.0,192,3.0
194,0.0,0.0,9.0,0.0,1.0,3.0,6.0,8.0,4.0,12.0,5.0,309,5.0
195,1.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,785,0.0
196,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,342,4.0
197,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,78,1.0
198,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
199,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
200,1.0,0.0,5.0,0.0,0.0,0.0,3.0,9.0,9.0,12.0,5.0,1234,1.67
201,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,8.0,14,8.0
202,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
203,0.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,77,4.0
204,1.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,1299,3.0
205,1.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,4.0,37.0,0.0,0,0.0
206,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,457,2.0
207,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,33.0,5.0,358,5.0
208,0.0,0.0,3.0,0.0,1.0,3.0,6.0,9.0,0.0,12.0,3.0,481,3.0
209,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,205,2.0
210,1.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,1.0,1106,1.0
211,1.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,16.0,12.0,9.0,1953,1.8
212,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,10.0,37.0,0.0,1070,0.0
213,1.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
214,0.0,0.0,7.0,0.0,1.0,3.0,6.0,3.0,4.0,12.0,5.0,207,2.5
215,1.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,12.0,2.0,1587,2.0
216,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,2.0,12.0,2.0,1509,2.0
217,0.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,331,4.0
218,0.0,0.0,3.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,4.0,187,4.0
219,1.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,7.0,12.0,3.0,1407,1.5
220,1.0,0.0,5.0,0.0,2.0,0.0,5.0,9.0,4.0,37.0,0.0,0,0.0
221,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,18.0,12.0,1.0,123,1.0
222,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,1.0,100,1.0
223,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,5.0,12.0,9.0,1164,4.5
224,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
225,1.0,0.0,13.0,0.0,1.0,0.0,4.0,3.0,14.0,12.0,1.0,1362,1.0
226,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,7.0,1051,3.5
227,0.0,0.0,1.0,0.0,1.0,0.0,4.0,8.0,18.0,12.0,2.0,1816,2.0
228,0.0,0.0,13.0,0.0,1.0,0.0,4.0,2.0,4.0,12.0,7.0,74,2.33
229,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,13.0,54,6.5
230,1.0,0.0,5.0,0.0,1.0,3.0,6.0,9.0,4.0,12.0,3.0,1183,3.0
231,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,8.0,12.0,3.0,66,3.0
232,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,3.0,1122,1.5
233,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,16.0,12.0,6.0,135,6.0
234,0.0,0.0,9.0,0.0,1.0,3.0,6.0,9.0,2.0,12.0,9.0,307,1.8
235,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,9.0,12.0,12.0,28,6.0
236,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
237,0.0,0.0,10.0,0.0,1.0,3.0,6.0,7.0,18.0,12.0,5.0,306,5.0
238,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,7.0,116,7.0
239,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,2.0,1054,2.0
240,1.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,12.0,12.0,3.0,195,3.0
241,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
242,1.0,0.0,5.0,0.0,1.0,0.0,5.0,3.0,12.0,12.0,3.0,732,3.0
243,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,7.0,35.0,7.0,1130,2.33
244,0.0,0.0,8.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,13.0,594,4.33
245,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,5.0,1117,5.0
246,0.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,14.0,354,14.0
247,0.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,217,3.0
248,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
249,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,4.0,12.0,5.0,1837,2.5
250,0.0,0.0,1.0,0.0,1.0,3.0,6.0,2.0,7.0,12.0,1.0,302,1.0
251,0.0,0.0,10.0,0.0,1.0,3.0,6.0,8.0,7.0,12.0,6.0,32,6.0
252,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,1.0,1226,1.0
253,0.0,0.0,5.0,0.0,1.0,3.0,6.0,2.0,12.0,12.0,4.0,144,4.0
254,1.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,631,1.0
255,1.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,12.0,37.0,1.0,891,1.0
256,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
257,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,3.0,235,3.0
258,0.0,0.0,3.0,0.0,1.0,3.0,6.0,8.0,15.0,12.0,2.0,453,2.0
259,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,60,1.5
260,1.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
261,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,9.0,96,4.5
262,1.0,0.0,5.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
263,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
